COIL	0.7	610	0		0		3
COIL	3.2	610	0		0		3
SHEET	0.7	1300	762		0		3
COIL	2.801	385.1	0		0		3
SHEET	0.801	255	269		0		3
COIL	1.6	610	0		0		3
SHEET	0.699	610	4880	Y	0		3
COIL	3.3	152	0		0		3
COIL	0.699	1320	0		0		3
SHEET	1	1320	762		0		3
COIL	1.2	610	0		0		3
SHEET	0.3	1320	4880	Y	0		3
SHEET	1.2	610	150		0		3
COIL	1.2	609.9	0		0		3
SHEET	0.6	1220	761		0		3
SHEET	4	1320	762		0		3
COIL	3.201	600	0		0		U
SHEET	0.8	610	4170	Y	0		U
SHEET	3.2	1320.1	762		0		3
COIL	0.501	1200.1	0		0		3
SHEET	0.6	610	761		0		3
COIL	0.8	610	0		0		3
COIL	1.001	50	0		0		U
COIL	3.2	609.9	0		0		3
COIL	0.5	610	0		0		1
COIL	3.2	1320	0		0		3
SHEET	0.8	356	4880		0		3
SHEET	0.7	609.9	4170		0		3
COIL	0.8	900	0		0		3
COIL	1.6	610	0		500		3
SHEET	0.6	610	4880		0		5
SHEET	1.4	1320	4170		0		3
SHEET	0.699	1320	762		0		3
COIL	4	450	0		0		U
SHEET	0.75	1320	4880		0		3
COIL	1.6	1220	0		0		5
COIL	1.399	1320	0		0		3
COIL	0.6	1320	0		0		3
COIL	0.651	20	0		0		3
SHEET	1.6	374.9	4880		0		3
COIL	1.6	50	0		0		3
SHEET	0.699	1320	4880	Y	0		3
COIL	0.7	610	0		0		3
SHEET	0.6	610	762		0		3
COIL	0.799	20	0		0		5
SHEET	0.6	610	301		0		3
SHEET	0.601	610	4880		0		3
SHEET	0.7	1320	4880		0		3
COIL	2.5	1274.9	0		500		3
SHEET	0.699	1320	4880	N	0		3
SHEET	0.7	609.9	762		0		3
SHEET	0.3	1320	761		0		3
SHEET	1.599	1300	762		0		3
SHEET	0.599	150	4880		0		3
COIL	0.7	1320	0		0		3
SHEET	0.7	374.9	4880		0		3
SHEET	0.301	610	762	Y	0		3
COIL	1.6	1320	0		0		3
SHEET	3.2	1300	762		0		3
SHEET	1.2	610	762		0		3
SHEET	1.2	610	4880		0		3
SHEET	0.6	1220	762		0		3
COIL	0.301	610	0		0		3
SHEET	1	610	762		0		U
SHEET	1.6	500	762		0		3
SHEET	0.301	515	610	Y	0		3
SHEET	1.2	335	611		0		5
SHEET	0.8	1320	762		0		2
COIL	0.4	20	0		0		3
COIL	0.6	250	0		0		5
COIL	0.801	610	0		600		3
COIL	3.5	610	0		600		3
SHEET	0.699	610	762	Y	0		3
COIL	0.799	1300	0		0		3
COIL	0.5	1130	0		0		3
SHEET	0.6	609	612		0		3
SHEET	1.6	609.9	4880		0		2
COIL	0.601	1320	0		0		3
COIL	2	1250	0		0		3
SHEET	3.2	1320	4880		0		3
COIL	0.7	610	0		0		3
SHEET	0.6	610	762		0		3
SHEET	1.599	610	1		0		2
COIL	0.8	609.9	0		0		3
SHEET	1.6	610	4880		0		3
COIL	3.2	640	0		600		3
SHEET	0.8	1320	4880		0		2
COIL	1.6	610	0		0	3	3
COIL	1.6	1090	0		0		2
COIL	0.5	610	0		0		5
COIL	1.201	1320	0		0		U
SHEET	0.3	610	762	Y	0		3
SHEET	0.7	1320.1	4880		0		3
SHEET	0.7	610	4880		0		3
COIL	1.5	640	0		0		3
SHEET	0.599	609.9	4880		0		3
SHEET	0.8	610	762		0		2
SHEET	1.6	610	761		0		5
COIL	0.6	610	0		0		5
SHEET	1.599	610	4880		0		2
SHEET	2	610	612		0		2
SHEET	1	610	4880		0		3
SHEET	0.999	610	762		0		3
SHEET	0.699	610	761		0		3
COIL	0.5	25	0		0		3
SHEET	0.7	610	762		0		3
COIL	1.6	610	0		0		3
SHEET	0.5	1220	4880		0		5
SHEET	0.7	1300	4880		0		3
SHEET	0.7	609.9	762		0		3
COIL	0.7	1320	0		0		3
COIL	0.8	50	0		0		3
SHEET	0.6	1220	761		0		5
SHEET	0.699	610	4880	Y	0		3
SHEET	1	1100	762		0		3
COIL	1.6	1090	0		0		2
COIL	3.2	610	0	Y	0		U
SHEET	0.599	520	4880		0		3
COIL	0.25	20	0		0		3
COIL	0.8	75	0		0		1
SHEET	0.699	610	4880	Y	0		3
SHEET	0.7	1300	4880		0		3
COIL	0.699	1320	0		0		3
COIL	1	1130	0		0		3
COIL	0.451	1320	0		0		3
COIL	1.6	1220	0		0		5
COIL	1.599	1275	0		0		3
SHEET	1.6	610	4880		0		5
COIL	1.599	610	0		0		2
SHEET	2	610	4170		0		2
COIL	1.2	1220	0		0		3
COIL	1.09	610	0		0		3
SHEET	1.599	1300	762		0		2
COIL	1.201	1525	0		0		2
